condition,architecture,seed,auroc,auprc,accuracy,balanced_accuracy,sensitivity,specificity,precision,npv,f1,brier,ece,threshold,temperature,tn,fp,fn,tp
D-C0,DenseNet121,3407,0.9660365987289063,0.9758394613084702,0.842948717948718,0.7940170940170941,0.9897435897435898,0.5982905982905983,0.8041666666666667,0.9722222222222222,0.8873563218390804,0.14211643419735198,0.18135660122602418,0.65966796875,0.8501244783401489,140,94,4,386
D-C0,DenseNet121,42,0.9710387902695595,0.9797330079946569,0.8381410256410257,0.7858974358974359,0.9948717948717949,0.5769230769230769,0.7967145790554415,0.9854014598540146,0.8848346636259977,0.12501427438933904,0.1628996500602135,0.5126953125,0.8163009881973267,135,99,2,388
D-C0,DenseNet121,2024,0.9661571334648259,0.9746407774688788,0.8269230769230769,0.77008547008547,0.9974358974358974,0.5427350427350427,0.7842741935483871,0.9921875,0.8781038374717833,0.14872474709532887,0.18945600436283994,0.57861328125,0.8159133791923523,127,107,1,389
D-P,DenseNet121,3407,0.9728029804952881,0.9801214515364057,0.844551282051282,0.7944444444444445,0.9948717948717949,0.594017094017094,0.8033126293995859,0.9858156028368794,0.8888888888888888,0.13180210424411015,0.17333602905273432,0.58251953125,0.7916021347045898,139,95,2,388
D-P,DenseNet121,42,0.9703210607056763,0.9790179025018781,0.8621794871794872,0.8179487179487179,0.9948717948717949,0.6410256410256411,0.8220338983050848,0.9868421052631579,0.9002320185614849,0.11260859485054635,0.14221949455065605,0.5634765625,0.8919488191604614,150,84,2,388
D-P,DenseNet121,2024,0.980802103879027,0.9882473269982264,0.8317307692307693,0.7764957264957265,0.9974358974358974,0.5555555555555556,0.7890466531440162,0.9923664122137404,0.8810872027180068,0.13308554378977533,0.17239694411938,0.52392578125,0.9181661605834961,130,104,1,389
R-C0,ResNet50,3407,0.9719154065307911,0.9811733710561493,0.8717948717948718,0.8307692307692307,0.9948717948717949,0.6666666666666666,0.8326180257510729,0.9873417721518988,0.9065420560747663,0.13476460837232596,0.17936746890728292,0.712890625,0.7823781371116638,156,78,2,388
R-C0,ResNet50,42,0.9683048433048433,0.9788670924537071,0.7900641025641025,0.7209401709401709,0.9974358974358974,0.4444444444444444,0.7495183044315993,0.9904761904761905,0.8558855885588559,0.14053836868800154,0.18483864955413037,0.4501953125,0.8471801280975342,104,130,1,389
R-C0,ResNet50,2024,0.9694937541091386,0.9765619329124534,0.8461538461538461,0.7965811965811966,0.9948717948717949,0.5982905982905983,0.8049792531120332,0.9859154929577465,0.8899082568807339,0.1445250656996415,0.1898091389582707,0.65234375,0.7418980002403259,140,94,2,388
R-P,ResNet50,3407,0.9760628972167434,0.9821159663091178,0.8701923076923077,0.8277777777777777,0.9974358974358974,0.6581196581196581,0.8294243070362474,0.9935483870967742,0.9057043073341094,0.12410655886719141,0.16874085939847505,0.62451171875,0.9359145164489746,154,80,1,389
R-P,ResNet50,42,0.9700799912338375,0.9783048506388748,0.8028846153846154,0.7380341880341881,0.9974358974358974,0.47863247863247865,0.761252446183953,0.9911504424778761,0.8634850166481687,0.1364486579097315,0.17731541242354953,0.43505859375,0.9009888768196106,112,122,1,389
R-P,ResNet50,2024,0.9730769230769231,0.9803349026341709,0.8733974358974359,0.832051282051282,0.9974358974358974,0.6666666666666666,0.8329764453961456,0.9936305732484076,0.9078179696616102,0.12126453783714215,0.1639945079118778,0.6220703125,0.8961408734321594,156,78,1,389
