run_id,condition,architecture,component,seed,n_test,threshold,auroc,auprc,accuracy,balanced_accuracy,sensitivity,specificity,precision,npv,f1,brier,ece,tn,fp,fn,tp
B01_D_C0_seed3407,D-C0,DenseNet121,C0,3407,624,0.65966796875,0.9660365987289063,0.9758394613084702,0.842948717948718,0.7940170940170941,0.9897435897435898,0.5982905982905983,0.8041666666666667,0.9722222222222222,0.8873563218390804,0.14211643419735198,0.18135660122602418,140,94,4,386
B02_D_C0_seed42,D-C0,DenseNet121,C0,42,624,0.5126953125,0.9710387902695595,0.9797330079946569,0.8381410256410257,0.7858974358974359,0.9948717948717949,0.5769230769230769,0.7967145790554415,0.9854014598540146,0.8848346636259977,0.12501427438933904,0.1628996500602135,135,99,2,388
B03_D_C0_seed2024,D-C0,DenseNet121,C0,2024,624,0.57861328125,0.9661571334648259,0.9746407774688788,0.8269230769230769,0.77008547008547,0.9974358974358974,0.5427350427350427,0.7842741935483871,0.9921875,0.8781038374717833,0.14872474709532887,0.18945600436283994,127,107,1,389
F01_D_CBAM_seed3407,D-CBAM,DenseNet121,CBAM-only,3407,624,0.6826171875,0.9650777996931844,0.9708147135193459,0.8605769230769231,0.8158119658119658,0.9948717948717949,0.6367521367521367,0.8202959830866807,0.9867549668874173,0.899188876013905,0.13712578350749446,0.1773882706960042,149,85,2,388
F02_D_CBAM_seed42,D-CBAM,DenseNet121,CBAM-only,42,624,0.62158203125,0.9702607933377164,0.9804024788095426,0.8461538461538461,0.7965811965811966,0.9948717948717949,0.5982905982905983,0.8049792531120332,0.9859154929577465,0.8899082568807339,0.14207868873489085,0.1860114488846216,140,94,2,388
F03_D_CBAM_seed2024,D-CBAM,DenseNet121,CBAM-only,2024,624,0.73681640625,0.9635765943458252,0.9646054103280286,0.8381410256410257,0.7858974358974359,0.9948717948717949,0.5769230769230769,0.7967145790554415,0.9854014598540146,0.8848346636259977,0.16635860521647863,0.20869153585189426,135,99,2,388
F04_D_MASK_seed3407,D-MASK,DenseNet121,mask-loss-only,3407,624,0.52587890625,0.9779804952881875,0.985942871008361,0.8381410256410257,0.7858974358974359,0.9948717948717949,0.5769230769230769,0.7967145790554415,0.9854014598540146,0.8848346636259977,0.11579921652085035,0.1537612095857278,135,99,2,388
F05_D_MASK_seed42,D-MASK,DenseNet121,mask-loss-only,42,624,0.66455078125,0.9649298706991016,0.970060679070899,0.842948717948718,0.7923076923076924,0.9948717948717949,0.5897435897435898,0.8016528925619835,0.9857142857142858,0.8878718535469108,0.149268671377612,0.18671438021537584,138,96,2,388
F06_D_MASK_seed2024,D-MASK,DenseNet121,mask-loss-only,2024,624,0.662109375,0.9679487179487181,0.9737030388510635,0.7996794871794872,0.7354700854700855,0.9923076923076923,0.47863247863247865,0.7603143418467584,0.9739130434782609,0.8609566184649611,0.18378608892649959,0.22189161410698519,112,122,3,387
B04_D_P_seed3407,D-P,DenseNet121,CBAM+mask-loss,3407,624,0.58251953125,0.9728029804952881,0.9801214515364057,0.844551282051282,0.7944444444444445,0.9948717948717949,0.594017094017094,0.8033126293995859,0.9858156028368794,0.8888888888888888,0.13180210424411015,0.17333602905273432,139,95,2,388
B05_D_P_seed42,D-P,DenseNet121,CBAM+mask-loss,42,624,0.5634765625,0.9703210607056763,0.9790179025018781,0.8621794871794872,0.8179487179487179,0.9948717948717949,0.6410256410256411,0.8220338983050848,0.9868421052631579,0.9002320185614849,0.11260859485054635,0.14221949455065605,150,84,2,388
B06_D_P_seed2024,D-P,DenseNet121,CBAM+mask-loss,2024,624,0.52392578125,0.980802103879027,0.9882473269982264,0.8317307692307693,0.7764957264957265,0.9974358974358974,0.5555555555555556,0.7890466531440162,0.9923664122137404,0.8810872027180068,0.13308554378977533,0.17239694411938,130,104,1,389
B07_R_C0_seed3407,R-C0,ResNet50,C0,3407,624,0.712890625,0.9719154065307911,0.9811733710561493,0.8717948717948718,0.8307692307692307,0.9948717948717949,0.6666666666666666,0.8326180257510729,0.9873417721518988,0.9065420560747663,0.13476460837232596,0.17936746890728292,156,78,2,388
B08_R_C0_seed42,R-C0,ResNet50,C0,42,624,0.4501953125,0.9683048433048433,0.9788670924537071,0.7900641025641025,0.7209401709401709,0.9974358974358974,0.4444444444444444,0.7495183044315993,0.9904761904761905,0.8558855885588559,0.14053836868800154,0.18483864955413037,104,130,1,389
B09_R_C0_seed2024,R-C0,ResNet50,C0,2024,624,0.65234375,0.9694937541091386,0.9765619329124534,0.8461538461538461,0.7965811965811966,0.9948717948717949,0.5982905982905983,0.8049792531120332,0.9859154929577465,0.8899082568807339,0.1445250656996415,0.1898091389582707,140,94,2,388
F07_R_CBAM_seed3407,R-CBAM,ResNet50,CBAM-only,3407,624,0.5556640625,0.9572649572649573,0.9688017320947603,0.844551282051282,0.7952991452991454,0.9923076923076923,0.5982905982905983,0.8045738045738046,0.9790209790209791,0.8886337543053962,0.1265814924791602,0.16060596245985764,140,94,3,387
F08_R_CBAM_seed42,R-CBAM,ResNet50,CBAM-only,42,624,0.6767578125,0.9601632697786545,0.9651835268963573,0.8814102564102564,0.8444444444444444,0.9923076923076923,0.6965811965811965,0.8449781659388647,0.9819277108433735,0.9127358490566038,0.1299075186021256,0.17514972197703826,163,71,3,387
F09_R_CBAM_seed2024,R-CBAM,ResNet50,CBAM-only,2024,624,0.68212890625,0.9737563006793776,0.9832784462319955,0.875,0.8350427350427351,0.9948717948717949,0.6752136752136753,0.8362068965517241,0.9875,0.9086651053864169,0.12699107561060466,0.17352842673277252,158,76,2,388
F10_R_MASK_seed3407,R-MASK,ResNet50,mask-loss-only,3407,624,0.64208984375,0.9788078018847249,0.9863874186154259,0.8653846153846154,0.8222222222222222,0.9948717948717949,0.6495726495726496,0.825531914893617,0.987012987012987,0.9023255813953488,0.12407259155150267,0.1706976156968337,152,82,2,388
F11_R_MASK_seed42,R-MASK,ResNet50,mask-loss-only,42,624,0.60546875,0.9599331580100811,0.9700946617206655,0.8269230769230769,0.770940170940171,0.9948717948717949,0.5470085470085471,0.7854251012145749,0.9846153846153847,0.8778280542986425,0.14990013646160477,0.19244193419432026,128,106,2,388
