architecture,comparison,candidate_component,reference_component,metric,mean_delta,ci_low,ci_high,bootstrap_n,ci_level,n_seeds,all_seed_deltas,supports_improvement_at_95ci
DenseNet121,CBAM-only minus C0,CBAM-only,C0,auroc,-0.0014391116955219108,-0.005639701585214343,0.0025716359850975305,5000,0.95,3,"[-0.0009587990357219356, -0.0007779969318431057, -0.002580539119000691]",False
DenseNet121,CBAM-only minus C0,CBAM-only,C0,auprc,-0.004796881371696278,-0.010326520016046186,0.00032434515552628665,5000,0.95,3,"[-0.0050247477891243175, 0.0006694708148856643, -0.010035367140850182]",False
DenseNet121,CBAM-only minus C0,CBAM-only,C0,accuracy,0.012286324786324817,0.0026709401709401983,0.021367521367521364,5000,0.95,3,"[0.017628205128205177, 0.008012820512820484, 0.011217948717948789]",True
DenseNet121,CBAM-only minus C0,CBAM-only,C0,balanced_accuracy,0.016096866096866114,0.004127492877492842,0.027920227920227896,5000,0.95,3,"[0.021794871794871717, 0.010683760683760757, 0.015811965811965867]",True
DenseNet121,CBAM-only minus C0,CBAM-only,C0,sensitivity,0.0008547008547008517,-0.0034188034188034067,0.005128205128205147,5000,0.95,3,"[0.00512820512820511, 0.0, -0.002564102564102555]",False
DenseNet121,CBAM-only minus C0,CBAM-only,C0,specificity,0.03133903133903134,0.007122507122507134,0.055555555555555504,5000,0.95,3,"[0.038461538461538436, 0.021367521367521403, 0.03418803418803418]",True
DenseNet121,CBAM-only minus C0,CBAM-only,C0,precision,0.01227812532788671,0.0028243821416533855,0.021348019755947967,5000,0.95,3,"[0.016129316420014028, 0.008264674056591703, 0.012440385507054397]",True
DenseNet121,CBAM-only minus C0,CBAM-only,C0,npv,0.0027535792076471832,-0.008989045485702745,0.014907999066444593,5000,0.95,3,"[0.014532744665195052, 0.0005140331037318813, -0.006786040145985384]",False
DenseNet121,CBAM-only minus C0,CBAM-only,C0,f1,0.007878991194591714,0.0018244092125555972,0.013804544065883365,5000,0.95,3,"[0.011832554174824539, 0.0050735932547362195, 0.006730826154214387]",True
DenseNet121,CBAM-only minus C0,CBAM-only,C0,brier,0.00990254059228135,0.006107104525908093,0.014001944516276692,5000,0.95,3,"[-0.004990650689857518, 0.01706441434555181, 0.01763385812114976]",False
DenseNet121,CBAM-only minus C0,CBAM-only,C0,ece,0.01279299992781415,0.008813296194769395,0.016618338201799962,5000,0.95,3,"[-0.0039683305300199645, 0.023111798824408086, 0.019235531489054325]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,auroc,0.002542187157571818,-0.0017952827087442055,0.006766427423478718,5000,0.95,3,"[0.011943896559281186, -0.006108919570457894, 0.0017915844838921613]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,auprc,-0.00016888594722748915,-0.005541363998008086,0.004929505222709912,5000,0.95,3,"[0.010103409699890764, -0.009672328923757911, -0.0009377386178153202]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,accuracy,-0.009081196581196549,-0.018162393162393136,-3.700743415417188e-17,5000,0.95,3,"[-0.004807692307692291, 0.004807692307692291, -0.027243589743589647]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,balanced_accuracy,-0.012108262108262066,-0.02365028490028491,-0.0005698005698005668,5000,0.95,3,"[-0.008119658119658202, 0.0064102564102564985, -0.03461538461538449]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,sensitivity,0.0,-0.0034188034188034067,0.0034188034188034067,5000,0.95,3,"[0.00512820512820511, 0.0, -0.00512820512820511]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,specificity,-0.024216524216524187,-0.04700854700854703,-0.0014245014245014194,5000,0.95,3,"[-0.021367521367521403, 0.012820512820512886, -0.06410256410256404]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,precision,-0.008824541935437321,-0.01748075232977052,-0.0002369165503649436,5000,0.95,3,"[-0.007452087611225178, 0.004938313506541947, -0.02395985170162873]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,npv,-0.0015941310098918453,-0.012327767387006196,0.007754126236953796,5000,0.95,3,"[0.013179237631792406, 0.00031282586027114867, -0.01827445652173909]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,f1,-0.005543895766330631,-0.01119788739678712,4.450223024594664e-05,5000,0.95,3,"[-0.0025216582130827003, 0.0030371899209130637, -0.017147219006822256]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,brier,0.010999507047647341,0.007142763446089416,0.015170210098626282,5000,0.95,3,"[-0.026317217676501636, 0.024254396988272947, 0.03506134183117071]",False
DenseNet121,mask-loss-only minus C0,mask-loss-only,C0,ece,0.009551649419670405,0.005741538094659141,0.013250315367666056,5000,0.95,3,"[-0.02759539164029637, 0.023814730155162334, 0.03243560974414525]",False
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,auroc,0.006897874205566534,0.003248867703995939,0.010475701293008998,5000,0.95,3,"[0.006766381766381779, -0.0007177295638832737, 0.014644970414201097]",True
