architecture,comparison,metric,mean_delta,ci_low,ci_high,bootstrap_n,ci_level,n_seeds,all_seed_deltas,supports_improvement_at_95ci
DenseNet121,D-P minus D-C0,auroc,0.006897874205566534,0.003360316677624356,0.01081525312294537,5000,0.95,3,"[0.006766381766381779, -0.0007177295638832737, 0.014644970414201097]",True
DenseNet121,D-P minus D-C0,auprc,0.005724478088168117,0.0025791863111768623,0.009198359266566614,5000,0.95,3,"[0.004281990227935517, -0.0007151054927787559, 0.013606549529347589]",True
DenseNet121,D-P minus D-C0,accuracy,0.010149572649572688,0.0015892094017094186,0.0192307692307692,5000,0.95,3,"[0.0016025641025640969, 0.024038461538461564, 0.004807692307692402]",True
DenseNet121,D-P minus D-C0,balanced_accuracy,0.01296296296296299,0.0014245014245014185,0.02464387464387467,5000,0.95,3,"[0.00042735042735042583, 0.03205128205128205, 0.0064102564102564985]",True
DenseNet121,D-P minus D-C0,sensitivity,0.0017094017094017033,0.0,0.004273504273504296,5000,0.95,3,"[0.00512820512820511, 0.0, 0.0]",False
DenseNet121,D-P minus D-C0,specificity,0.024216524216524277,0.0014245014245014194,0.04700854700854703,5000,0.95,3,"[-0.004273504273504258, 0.06410256410256421, 0.012820512820512886]",True
DenseNet121,D-P minus D-C0,precision,0.009745913859397196,0.0008825330830926829,0.018848378150572002,5000,0.95,3,"[-0.0008540372670807761, 0.025319319249643257, 0.004772459595629108]",True
DenseNet121,D-P minus D-C0,npv,0.005070979412513628,0.0001308949347975837,0.012078427680348822,5000,0.95,3,"[0.013593380614657202, 0.0014406454091432375, 0.0001789122137404453]",True
DenseNet121,D-P minus D-C0,f1,0.006637762410506361,0.0010811877630402993,0.012351553647054208,5000,0.95,3,"[0.0015325670498084198, 0.015397354935487217, 0.002983365246223446]",True
DenseNet121,D-P minus D-C0,brier,-0.012786404265862689,-0.016605691762106,-0.00890903670094122,5000,0.95,3,"[-0.01031432995324183, -0.012405679538792694, -0.015639203305553545]",True
DenseNet121,D-P minus D-C0,ece,-0.015253262642102416,-0.01901235544783437,-0.011287277784103046,5000,0.95,3,"[-0.008020572173289858, -0.020680155509557457, -0.017059060243459934]",True
ResNet50,R-P minus R-C0,auroc,0.0031686025275769656,-0.00031832127985974886,0.006649636569508333,5000,0.95,3,"[0.004147490685952326, 0.0017751479289941363, 0.0035831689677844336]",False
ResNet50,R-P minus R-C0,auprc,0.001384441053284576,-0.0025722290549574597,0.005483331704940169,5000,0.95,3,"[0.00094259525296847, -0.0005622418148322206, 0.0037729697217174785]",False
ResNet50,R-P minus R-C0,accuracy,0.01282051282051285,0.0026709401709401983,0.022970085470085427,5000,0.95,3,"[-0.0016025641025640969, 0.012820512820512886, 0.027243589743589758]",True
ResNet50,R-P minus R-C0,balanced_accuracy,0.0165242165242165,0.003418803418803479,0.029629629629629634,5000,0.95,3,"[-0.002991452991452981, 0.017094017094017144, 0.035470085470085344]",True
ResNet50,R-P minus R-C0,sensitivity,0.0017094017094017033,0.0,0.004273504273504258,5000,0.95,3,"[0.002564102564102555, 0.0, 0.002564102564102555]",False
ResNet50,R-P minus R-C0,specificity,0.031339031339031355,0.0056980056980056775,0.056980056980057016,5000,0.95,3,"[-0.008547008547008517, 0.03418803418803423, 0.06837606837606836]",True
ResNet50,R-P minus R-C0,precision,0.012179205107213523,0.002122149188967266,0.022290841177734937,5000,0.95,3,"[-0.003193718714825544, 0.011734141752353766, 0.02799719228411235]",True
ResNet50,R-P minus R-C0,npv,0.00486531574574071,3.330851456504695e-05,0.011723562017330661,5000,0.95,3,"[0.006206614944875399, 0.0006742520016855824, 0.007715080290661147]",True
ResNet50,R-P minus R-C0,f1,0.008223797376510725,0.0019667137971163162,0.01449062219807387,5000,0.95,3,"[-0.0008377487406568962, 0.0075994280893127986, 0.017909712780876275]",True
ResNet50,R-P minus R-C0,brier,-0.012669429381967972,-0.016430561543434204,-0.008761369223226274,5000,0.95,3,"[-0.010658049505134548, -0.004089710778270028, -0.02326052786249934]",True
ResNet50,R-P minus R-C0,ece,-0.014654825895260534,-0.018421206107506364,-0.01073902121975893,5000,0.95,3,"[-0.010626609508807866, -0.00752323713058084, -0.025814631046392894]",True
