condition,architecture,metric,mean,sd,min_seed_value,max_seed_value,n_seeds
D-C0,DenseNet121,auroc,0.9677441741544306,0.0028538576813133573,0.9660365987289063,0.9710387902695595,3
D-C0,DenseNet121,auprc,0.9767377489240019,0.0026623097889013434,0.9746407774688788,0.9797330079946569,3
D-C0,DenseNet121,accuracy,0.8360042735042734,0.008223720255523884,0.8269230769230769,0.842948717948718,3
D-C0,DenseNet121,balanced_accuracy,0.7833333333333333,0.01217011185119506,0.77008547008547,0.7940170940170941,3
D-C0,DenseNet121,sensitivity,0.994017094017094,0.003916731363210106,0.9897435897435898,0.9974358974358974,3
D-C0,DenseNet121,specificity,0.5726495726495725,0.028023241556846167,0.5427350427350427,0.5982905982905983,3
D-C0,DenseNet121,precision,0.795051813090165,0.010049936053618952,0.7842741935483871,0.8041666666666667,3
D-C0,DenseNet121,npv,0.9832703940254123,0.010151805768449982,0.9722222222222222,0.9921875,3
D-C0,DenseNet121,f1,0.8834316076456205,0.004783151817036908,0.8781038374717833,0.8873563218390804,3
D-C0,DenseNet121,brier,0.13861848522733997,0.0122361498941856,0.12501427438933904,0.14872474709532887,3
D-C0,DenseNet121,ece,0.17790408521635923,0.013610653494942886,0.1628996500602135,0.18945600436283994,3
D-P,DenseNet121,auroc,0.9746420483599971,0.005477197683000363,0.9703210607056763,0.980802103879027,3
D-P,DenseNet121,auprc,0.9824622270121702,0.005040336447540288,0.9790179025018781,0.9882473269982264,3
D-P,DenseNet121,accuracy,0.8461538461538461,0.015287487202194645,0.8317307692307693,0.8621794871794872,3
D-P,DenseNet121,balanced_accuracy,0.7962962962962963,0.020788449715198824,0.7764957264957265,0.8179487179487179,3
D-P,DenseNet121,sensitivity,0.9957264957264957,0.00148038530561442,0.9948717948717949,0.9974358974358974,3
D-P,DenseNet121,specificity,0.5968660968660969,0.0428062085507599,0.5555555555555556,0.6410256410256411,3
D-P,DenseNet121,precision,0.8047977269495622,0.016543691301484666,0.7890466531440162,0.8220338983050848,3
D-P,DenseNet121,npv,0.9883413734379259,0.0035233690791480884,0.9858156028368794,0.9923664122137404,3
D-P,DenseNet121,f1,0.890069370056127,0.00962684503146414,0.8810872027180068,0.9002320185614849,3
D-P,DenseNet121,brier,0.12583208096147727,0.011469840581339031,0.11260859485054635,0.13308554378977533,3
D-P,DenseNet121,ece,0.16265082257425678,0.01770027806939747,0.14221949455065605,0.17333602905273432,3
R-C0,ResNet50,auroc,0.969904667981591,0.0018400215651105738,0.9683048433048433,0.9719154065307911,3
R-C0,ResNet50,auprc,0.9788674654741033,0.002305719094478241,0.9765619329124534,0.9811733710561493,3
R-C0,ResNet50,accuracy,0.8360042735042735,0.04180000034078984,0.7900641025641025,0.8717948717948718,3
R-C0,ResNet50,balanced_accuracy,0.7827635327635326,0.056203215840085884,0.7209401709401709,0.8307692307692307,3
R-C0,ResNet50,sensitivity,0.9957264957264957,0.0014803853056144197,0.9948717948717949,0.9974358974358974,3
R-C0,ResNet50,specificity,0.5698005698005698,0.11381757467486142,0.4444444444444444,0.6666666666666666,3
R-C0,ResNet50,precision,0.7957051944315685,0.042318991530400064,0.7495183044315993,0.8326180257510729,3
R-C0,ResNet50,npv,0.9879111518619452,0.0023330528078774402,0.9859154929577465,0.9904761904761905,3
R-C0,ResNet50,f1,0.8841119671714521,0.025820866679743114,0.8558855885588559,0.9065420560747663,3
R-C0,ResNet50,brier,0.13994268091998965,0.004907419357188268,0.13476460837232596,0.1445250656996415,3
R-C0,ResNet50,ece,0.18467175247322798,0.005222835373638931,0.17936746890728292,0.1898091389582707,3
R-P,ResNet50,auroc,0.9730732705091679,0.0029914546638736468,0.9700799912338375,0.9760628972167434,3
R-P,ResNet50,auprc,0.9802519065273878,0.0019069129314939098,0.9783048506388748,0.9821159663091178,3
R-P,ResNet50,accuracy,0.8488247863247863,0.039817617849538925,0.8028846153846154,0.8733974358974359,3
R-P,ResNet50,balanced_accuracy,0.7992877492877493,0.05309015713271852,0.7380341880341881,0.832051282051282,3
R-P,ResNet50,sensitivity,0.9974358974358974,0.0,0.9974358974358974,0.9974358974358974,3
R-P,ResNet50,specificity,0.6011396011396011,0.10618031426543716,0.47863247863247865,0.6666666666666666,3
R-P,ResNet50,precision,0.807884399538782,0.040423492266220294,0.761252446183953,0.8329764453961456,3
R-P,ResNet50,npv,0.992776467607686,0.0014087785251628464,0.9911504424778761,0.9936305732484076,3
R-P,ResNet50,f1,0.8923357645479628,0.025007821434338884,0.8634850166481687,0.9078179696616102,3
R-P,ResNet50,brier,0.1272732515380217,0.008072195020458837,0.12126453783714215,0.1364486579097315,3
R-P,ResNet50,ece,0.1700169265779675,0.006751509819085086,0.1639945079118778,0.17731541242354953,3
