xai_id,condition,architecture,seed,sample_index,sampling_stratum,image_id,true_label,prob_pneumonia,threshold,pred_label,is_correct,gcam_lrr_plus,gcam_lrr_abs,gcam_lrr_chance,gcam_lrr_enrichment,guided_gcam_lrr_plus,guided_gcam_lrr_abs,guided_gcam_lrr_enrichment,gcam_pointing_inside_lung,guided_gcam_pointing_inside_lung,gcam_argmax_x,gcam_argmax_y,guided_gcam_argmax_x,guided_gcam_argmax_y,gcam_deletion_auc,gcam_insertion_auc,guided_gcam_deletion_auc,guided_gcam_insertion_auc,gcam_input_stability_lrr_delta,guided_gcam_input_stability_lrr_delta,gcam_head_randomization_corr,guided_gcam_head_randomization_corr,checkpoint_path
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,0,normal,E-03B36F677CCFA6787A3BC686.jpeg,0,0.7452006652158455,0.712890625,1,0,0.3798860904827328,0.37988609075546265,0.3590850830078125,1.057927796110839,0.3439814998490719,0.3439815044403076,0.9579387062469203,0,0,144,143,7,136,0.7474529704326744,0.9219029140983244,0.8469425381313846,0.9500271345108184,0.0012759664236747792,0.0018467229410561448,0.7519673768265441,0.7111006253205695,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,1,normal,E-06530ECE35CCF9FF05F7DDEB.jpeg,0,0.028308820810359656,0.712890625,0,1,0.300494936128097,0.3004949390888214,0.2779541015625,1.0810955277827716,0.41247227358641414,0.41247227787971497,1.4839582192445782,0,1,176,207,194,194,0.6600576230482642,0.7909239736888417,0.5845410790231114,0.8871039038571157,0.0012462958321143858,0.004192405721411274,-0.061368226350862795,0.07856769379682735,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,2,normal,E-10FEC5D206E4A3A02E4F32C9.jpeg,0,0.6173717591505328,0.712890625,0,1,0.1150020837824538,0.11500208079814911,0.2476806640625,0.4643159538422186,0.05652280998238546,0.056522808969020844,0.22820840777511173,0,0,144,0,139,1,0.15692773071525148,0.2187043638193221,0.143692600606616,0.2098748794214683,0.00068647221047273,0.0016819832344027036,0.14260774161401876,0.16478152702646698,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,3,normal,E-16E04AC17A9CE052EFE7227B.jpeg,0,0.06556475918849043,0.712890625,0,1,0.3712415642023921,0.37124156951904297,0.3753509521484375,0.9890518781888683,0.16817681806267074,0.1681768149137497,0.4480521951524529,0,0,111,0,95,1,0.5095114754592236,0.7542452497977326,0.496990932182515,0.7824431477816136,0.0010808919166635511,0.002495464153736332,0.4661978416699886,0.6651842432496314,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,4,normal,E-256958BC036CED77CAAB2A55.jpeg,0,0.2708424674419073,0.712890625,0,1,0.2391058717722404,0.23910586535930634,0.3496246337890625,0.6838930918022759,0.14371460882629228,0.14371460676193237,0.4110540131820316,0,0,176,240,68,2,0.4007117680395368,0.4647630731075128,0.38401729954215036,0.5303807739711942,0.0033122402369151482,0.006941006649911319,0.07223778800879256,0.7624992140278961,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,5,normal,E-280031A047E47DC7EA750C62.jpeg,0,0.2529960124886604,0.712890625,0,1,0.5036097178885689,0.5036097168922424,0.3791046142578125,1.328418855767569,0.5319384707720433,0.5319384932518005,1.4031442793526516,1,0,80,143,159,1,0.2464637984842436,0.4825408275060099,0.2771010041072549,0.5099430257477099,0.0011762443728037253,0.004833144778348841,0.8751186194880247,0.7173774453946528,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,6,normal,E-28020DB22FEE86C7B17E72DA.jpeg,0,0.3994554665684966,0.712890625,0,1,0.28417418578683046,0.2841741740703583,0.3710174560546875,0.7659321176115863,0.13541753709533397,0.13541753590106964,0.36498966527163507,0,0,80,0,69,33,0.21180687396512807,0.37733123113604083,0.20037369044581368,0.3948352801176966,0.000897020304654994,0.0017053095684045616,-0.27598417001899517,-0.043173533836724044,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,7,normal,E-28234EA54B2F1B13D8D5995E.jpeg,0,0.381836790065694,0.712890625,0,1,0.3024246667472953,0.30242466926574707,0.3462677001953125,0.8733839932997287,0.44114648614396645,0.44114649295806885,1.2740041473551749,0,1,176,208,189,195,0.36815549943629144,0.39680049127424954,0.30936135073846566,0.43258507492813364,0.0014707119150368375,0.004382527620278298,-0.06775082458848466,0.29671276441470407,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,8,normal,E-28CAAFCB1AFEEA2D46764B17.jpeg,0,0.687537449750415,0.712890625,0,1,0.5828539603923537,0.5828539729118347,0.38934326171875,1.4970182296705319,0.8675724374451347,0.8675724267959595,2.2282970395204713,1,1,175,208,171,213,0.10678341473252986,0.2728206795384596,0.10901461561748958,0.2665077649765094,0.005218846604122862,0.00029052679086938316,0.27761781827282533,0.8386093849071274,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,3407,9,normal,E-29AE82E82E5A6A48DC6D8B99.jpeg,0,0.07927185192453634,0.712890625,0,1,0.3440119883117533,0.34401199221611023,0.3269195556640625,1.052283298296339,0.34286451775613236,0.3428645133972168,1.0487733505561676,1,1,176,208,186,207,0.46503177350217684,0.7363121753298826,0.40407277811419995,0.8174669591475066,0.001300818158612993,0.002479734001520295,0.8914443118241145,0.9375103721676449,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_3407/best_checkpoint.pt
