xai_id,condition,architecture,seed,sample_index,sampling_stratum,image_id,true_label,prob_pneumonia,threshold,pred_label,is_correct,gcam_lrr_plus,gcam_lrr_abs,gcam_lrr_chance,gcam_lrr_enrichment,guided_gcam_lrr_plus,guided_gcam_lrr_abs,guided_gcam_lrr_enrichment,gcam_pointing_inside_lung,guided_gcam_pointing_inside_lung,gcam_argmax_x,gcam_argmax_y,guided_gcam_argmax_x,guided_gcam_argmax_y,gcam_deletion_auc,gcam_insertion_auc,guided_gcam_deletion_auc,guided_gcam_insertion_auc,gcam_input_stability_lrr_delta,guided_gcam_input_stability_lrr_delta,gcam_head_randomization_corr,guided_gcam_head_randomization_corr,checkpoint_path
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,0,normal,E-03B36F677CCFA6787A3BC686.jpeg,0,0.7769417297673886,0.43505859375,1,0,0.8013955008502088,0.8013954758644104,0.3590850830078125,2.23177051560444,0.892371314173805,0.8923712968826294,2.4851249923806775,1,1,207,143,209,116,0.8842645477469206,0.9237846730675761,0.9227191920063827,0.923859590393558,0.00036833314282713747,0.0007645142418605255,-0.17146144900679264,-0.05725962535130537,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,1,normal,E-06530ECE35CCF9FF05F7DDEB.jpeg,0,0.03442779730045991,0.43505859375,0,1,0.7442451221523654,0.7442451119422913,0.2779541015625,2.6775828022275703,0.8588661544782834,0.8588661551475525,3.0899567577892393,1,1,207,143,193,155,0.6504451874670298,0.8261637240496238,0.5973694421638454,0.8398519407500737,0.00010770995452613619,0.0002928434720974593,-0.12058289644910848,0.09241954294079209,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,2,normal,E-10FEC5D206E4A3A02E4F32C9.jpeg,0,0.3828160156888024,0.43505859375,0,1,0.7518130050344198,0.7518129944801331,0.2476806640625,3.0354125861222117,0.8348981552401039,0.8348981738090515,3.3708652970561515,1,1,176,111,179,78,0.2346632417899016,0.444813941775858,0.19427782944548627,0.48617012742004395,0.0017961271940294399,0.0024009754491982616,0.8486376443707215,0.8432980783653533,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,3,normal,E-16E04AC17A9CE052EFE7227B.jpeg,0,0.07695495885052014,0.43505859375,0,1,0.7903206729116588,0.7903206944465637,0.3753509521484375,2.1055512671221783,0.8673586200305582,0.8673586249351501,2.310793712033931,1,1,175,80,82,118,0.5677534115029842,0.7452094270160293,0.5040801402700442,0.750111746051862,0.00014619689325101604,0.000243974857046525,0.1954164214503052,0.3829999944156099,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,4,normal,E-256958BC036CED77CAAB2A55.jpeg,0,0.1667555751593601,0.43505859375,0,1,0.7787325744681936,0.7787325978279114,0.3496246337890625,2.2273389778879906,0.8978630533924288,0.8978630304336548,2.568077208009698,1,1,80,80,74,118,0.3218694770809158,0.5553417545864616,0.3175809015686062,0.5844767759200902,4.1480236506852286e-05,1.660155076765868e-05,0.06320082171712771,0.5090252309500838,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,5,normal,E-280031A047E47DC7EA750C62.jpeg,0,0.03473067672375899,0.43505859375,0,1,0.8164834147385777,0.8164834380149841,0.3791046142578125,2.1537153177020496,0.9505521709826423,0.9505521655082703,2.5073611220574943,1,1,79,80,72,94,0.7033675791689389,0.8848035818657795,0.5827788461402228,0.8643204520689248,0.0005233979525446353,0.0006533256382394992,0.7409291852300692,0.7763162701064529,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,6,normal,E-28020DB22FEE86C7B17E72DA.jpeg,0,0.17703600178520157,0.43505859375,0,1,0.764736346981293,0.7647363543510437,0.3710174560546875,2.061186972476497,0.8277338041059865,0.8277338147163391,2.230983449964628,1,1,80,80,79,59,0.3037337004326123,0.5216042125163725,0.30335990329368934,0.5839490116011904,0.00019313093984518748,8.897712853428441e-05,0.994476425049075,0.8446815290340817,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,7,normal,E-28234EA54B2F1B13D8D5995E.jpeg,0,0.1860397103478176,0.43505859375,0,1,0.8289480592445025,0.8289480805397034,0.3462677001953125,2.393951439238872,0.9134600375525549,0.9134600162506104,2.6380168783785414,1,1,207,143,183,152,0.4016527365780626,0.5193414170813605,0.2868393214921824,0.5456290144988122,0.0003911365274855694,0.0003580124902543558,-0.011815100358185796,0.24884075102939246,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,8,normal,E-28CAAFCB1AFEEA2D46764B17.jpeg,0,0.7401977686849863,0.43505859375,1,0,0.7572040451803953,0.7572040557861328,0.38934326171875,1.9448238087843857,0.7772236057707629,0.7772235870361328,1.9962426018103432,1,0,79,112,134,134,0.8126741534721823,0.9172891544599077,0.9070181466176168,0.8873011838737905,0.0010218818626253068,0.0020582424278626776,-0.05124889346456022,-4.5645979993714955e-06,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
E04_XAI_R_P_ResNet50,R-P,ResNet50,42,9,normal,E-29AE82E82E5A6A48DC6D8B99.jpeg,0,0.052725296627187085,0.43505859375,0,1,0.7256117940869471,0.7256118059158325,0.3269195556640625,2.2195423354624113,0.8968315049202942,0.8968315124511719,2.743278856777428,1,1,80,80,83,86,0.657367462632328,0.8287971221474548,0.6095364808462891,0.8313002948214163,0.00029920877444278293,3.2651803245520306e-05,-0.12785070023759612,-0.006311084465902672,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-P/ResNet50/seed_42/best_checkpoint.pt
