architecture,comparison,metric,metric_label,mean_delta,ci_low,ci_high,supports_improvement_at_95ci,seed_deltas,paired_better_count,paired_worse_count,paired_tie_count
DenseNet121,D-P minus D-C0,gcam_lrr_plus,Grad-CAM LRR+,0.3954598530803199,0.38671989983134575,0.4043808857639279,True,"[0.3969359350252989, 0.38320141848524836, 0.40624220573041236]",384,0,0
DenseNet121,D-P minus D-C0,guided_gcam_lrr_plus,Guided Grad-CAM LRR+,0.43628910449539804,0.4220308834472035,0.45018320655229704,True,"[0.4081200240598967, 0.4494821813663639, 0.45126510805993336]",384,0,0
DenseNet121,D-P minus D-C0,gcam_pointing_inside_lung,Grad-CAM pointing,0.5911458333333334,0.5416666666666666,0.640625,True,"[0.6328125, 0.578125, 0.5625]",227,0,157
DenseNet121,D-P minus D-C0,guided_gcam_pointing_inside_lung,Guided Grad-CAM pointing,0.7552083333333334,0.7109375,0.7994791666666666,True,"[0.7265625, 0.8046875, 0.734375]",291,1,92
DenseNet121,D-P minus D-C0,gcam_deletion_auc,Grad-CAM deletion AUC,0.04563834459312801,0.03324718102847755,0.05757471226076399,True,"[0.03310758760933895, 0.04753629173874949, 0.05627115443129557]",233,151,0
DenseNet121,D-P minus D-C0,guided_gcam_deletion_auc,Guided Grad-CAM deletion AUC,0.02284077428287426,0.01106092566951983,0.034566411494371715,True,"[0.027256209844179938, 0.013029321064486852, 0.028236791939955996]",205,179,0
DenseNet121,D-P minus D-C0,gcam_insertion_auc,Grad-CAM insertion AUC,-0.02635119869772475,-0.03550908711332254,-0.0171246442607686,False,"[-0.018608390116712517, -0.045062393165030135, -0.015382812811431603]",110,274,0
DenseNet121,D-P minus D-C0,guided_gcam_insertion_auc,Guided Grad-CAM insertion AUC,-0.010020511195905073,-0.019510526238120055,-0.0008589108753711429,False,"[-0.0038386206316139504, -0.010838809671246471, -0.015384103284854796]",112,272,0
DenseNet121,D-P minus D-C0,gcam_input_stability_lrr_delta,Grad-CAM stability delta,-0.0009843444702847739,-0.0011527110538470057,-0.0008250536146394152,True,"[-0.0006901166230624673, -0.0010338628015098405, -0.0012290539862820134]",91,293,0
DenseNet121,D-P minus D-C0,guided_gcam_input_stability_lrr_delta,Guided Grad-CAM stability delta,-0.0024522868203812466,-0.002923660854288142,-0.0020040650816447398,True,"[-0.0016081076102779355, -0.0023575337886882443, -0.0033912190621775595]",105,279,0
DenseNet121,D-P minus D-C0,gcam_head_randomization_corr,Grad-CAM randomization corr,0.2885620999051495,0.23502562879093467,0.3417838802014249,False,"[0.29541378455429446, 0.24877658622816037, 0.3214959289329937]",277,106,1
DenseNet121,D-P minus D-C0,guided_gcam_head_randomization_corr,Guided Grad-CAM randomization corr,0.088151650091131,0.041421375488449104,0.13409242130411597,False,"[0.0580430935027498, 0.08130281248595603, 0.12510904428468717]",233,150,1
ResNet50,R-P minus R-C0,gcam_lrr_plus,Grad-CAM LRR+,0.4010259844644109,0.39244853373664096,0.4092694041737458,True,"[0.36844657288971155, 0.43219835375700305, 0.40243302674651826]",384,0,0
ResNet50,R-P minus R-C0,guided_gcam_lrr_plus,Guided Grad-CAM LRR+,0.43906498472493927,0.42315584048573335,0.45499298487649475,True,"[0.37014021072798964, 0.5205161367765961, 0.4265386066702321]",383,1,0
ResNet50,R-P minus R-C0,gcam_pointing_inside_lung,Grad-CAM pointing,0.78125,0.7421875,0.8203125,True,"[0.65625, 0.890625, 0.796875]",300,0,84
ResNet50,R-P minus R-C0,guided_gcam_pointing_inside_lung,Guided Grad-CAM pointing,0.6328125,0.5807291666666666,0.6822916666666666,True,"[0.53125, 0.7578125, 0.609375]",249,6,129
ResNet50,R-P minus R-C0,gcam_deletion_auc,Grad-CAM deletion AUC,0.06833379917645842,0.05285927448974475,0.08346189544214212,True,"[0.05989577588533941, 0.06042857370678443, 0.08467704793725142]",331,53,0
ResNet50,R-P minus R-C0,guided_gcam_deletion_auc,Guided Grad-CAM deletion AUC,0.04314795974710369,0.02697276509446314,0.05964074588418786,True,"[0.04300298146251187, 0.029189414852413886, 0.057251482926385294]",305,79,0
ResNet50,R-P minus R-C0,gcam_insertion_auc,Grad-CAM insertion AUC,0.01680405051948647,0.003022990264122681,0.030286946973735136,True,"[0.05077221567411902, -0.0007058780535390613, 0.00034581393787944635]",280,104,0
ResNet50,R-P minus R-C0,guided_gcam_insertion_auc,Guided Grad-CAM insertion AUC,0.015764820108199757,0.003021137906179139,0.02862714667910388,True,"[0.06554766846350514, -0.016844863898476222, -0.0014083442404296369]",277,107,0
ResNet50,R-P minus R-C0,gcam_input_stability_lrr_delta,Grad-CAM stability delta,-0.0009826872797050058,-0.0011230838948133942,-0.0008498889089348171,True,"[-0.0011360605730251095, -0.0005049177481333138, -0.0013070835179565942]",84,300,0
ResNet50,R-P minus R-C0,guided_gcam_input_stability_lrr_delta,Guided Grad-CAM stability delta,-0.002432353120914442,-0.0028640289565039757,-0.0020089095872975553,True,"[-0.0022251323749122747, -0.0023270465680521055, -0.002744880419778945]",113,271,0
ResNet50,R-P minus R-C0,gcam_head_randomization_corr,Grad-CAM randomization corr,0.1449056476156533,0.0874957357761975,0.20278884396051824,False,"[0.18686321651759633, 0.07002264271976172, 0.17783108360960187]",242,142,0
ResNet50,R-P minus R-C0,guided_gcam_head_randomization_corr,Guided Grad-CAM randomization corr,0.05010566852832108,0.002847830026677196,0.09923009686827905,False,"[0.10011550575688778, -0.032982621270862135, 0.08318412109893761]",224,160,0
