stage,epoch,train_loss,n,n_normal,n_pneumonia,auroc,auprc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,threshold,tn,fp,fn,tp
1,1,0.3102665341634681,779,201,578,0.9785243333505483,0.9923914114788894,0.9178433889602053,0.923544044483465,0.9117647058823529,0.9353233830845771,0.975925925925926,0.9427549194991055,0.06229337084406259,0.5,188,13,51,527
1,2,0.19869865547271742,779,201,578,0.9840503365525314,0.9944198440213393,0.9101412066752247,0.9297113050663637,0.889273356401384,0.9701492537313433,0.9884615384615385,0.936247723132969,0.06506410139299693,0.5,195,6,64,514
1,3,0.18438952005859735,779,201,578,0.9864087865172408,0.9952629650264364,0.9409499358151476,0.9277574067379366,0.9550173010380623,0.900497512437811,0.965034965034965,0.96,0.03892734898976399,0.5,181,20,26,552
1,4,0.17464630778177062,779,201,578,0.9875794040179724,0.995622624843064,0.9473684210526315,0.9353276868253886,0.9602076124567474,0.9104477611940298,0.9685863874345549,0.9643788010425717,0.03694639902697821,0.5,183,18,23,555
1,5,0.16777727418187735,779,201,578,0.9894644424934153,0.9963594186606219,0.9525032092426188,0.9452779355816074,0.9602076124567474,0.9303482587064676,0.9753954305799648,0.967741935483871,0.03482743186032284,0.5,187,14,23,555
2,1,0.08461643976055633,779,201,578,0.998046101671573,0.9993685592668649,0.9794608472400513,0.9796691284064108,0.9792387543252595,0.9800995024875622,0.9929824561403509,0.9860627177700348,0.013594267619670199,0.5,197,4,12,566
2,2,0.033389412297739014,779,201,578,0.999337223915027,0.999779068239069,0.9897304236200257,0.9898345642032054,0.9896193771626297,0.9900497512437811,0.9965156794425087,0.9930555555555556,0.008588349878952115,0.5,199,2,6,572
2,3,0.02802975958449046,779,201,578,0.9987691301279071,0.9995974204836682,0.9807445442875481,0.9870242214532872,0.9740484429065744,1.0,1.0,0.9868536371603857,0.015854402667622534,0.5,201,0,15,563
2,4,0.020726192735731973,779,201,578,0.9981321764878033,0.9993883338434362,0.982028241335045,0.9813992322126392,0.9826989619377162,0.9800995024875622,0.993006993006993,0.9878260869565217,0.013870115985208632,0.5,197,4,10,568
2,5,0.02122052694566251,779,201,578,0.9994232987312572,0.9998040094449884,0.9884467265725289,0.9873470020141506,0.9896193771626297,0.9850746268656716,0.9947826086956522,0.9921942758022549,0.007762987490037705,0.5,198,3,6,572
2,6,0.010368728175650915,779,201,578,0.9989757096868599,0.9996833027261591,0.9922978177150192,0.9948096885813149,0.9896193771626297,1.0,1.0,0.9947826086956522,0.006465769387679487,0.5,201,0,6,572
2,7,0.006239157125399789,779,201,578,0.9991822892458124,0.9997341556490623,0.9948652118100129,0.9965397923875432,0.9930795847750865,1.0,1.0,0.9965277777777778,0.0056278861803370946,0.5,201,0,4,574
